species,Tree.label,section,flower.colour,calyptra,sepal.dimorph,hyaline,sepal.shape,opn.cylx,K.avg,L.avg,Cylx.Fuion,Ptl.fusion,D.avg,E.avg,C.avg,B.avg,A.avg,Fil.avg,Anth.avg,Lip,Stam.disc,Anth.folding,Styl.fil.oil,H.avg,I.avg,ovl.orientation,ovl.attachment,style.hooked,Styl.avg,fr.wdth.avg,fr.lgnth.avg,calyx.remains,fr.colour,pericrp.avg,ctlydn.interlck,testa,hypctl,oil,ctyldn.wdth.avg,ctyldn.lgnth.avg,Inflorescence.habit..erect.pendant.
rejangense,SYZ244_S_rejangense,caryophyllus,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Rounded sepals,Erect calyx,1.755,2.475,Free sepals,Fused petals,impute,impute,7.12,10.965,3.145,1.97,0.455,Lip absent,disc flat,Filaments fold at base,Oil glands absent,0.955,0.85,Ascending ovules,Central ovules,Style bent,6.156,6,10,calyx indet,no colour info on specimen sheet,impute,cotyledons indet,testa indet,hypocotyl indet,oil glands indet,impute,impute,erect
austrocaledonicum,SYZ353_S_austrocaledonicum,syzygium,white,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,1.15,2.75,Free sepals,Free petals,1.18,1.135,6.21,2.735,2.04,3,0.38,Lip absent,disc vertical,Filaments fold at base,Oil glands absent,1.01,1.03,Ascending ovules,Central ovules,Style bent,3.101,7.17,10.31,calyx deciduous,red,0.942,cotyledons not interlocking,testa adhering,hypocotyl visible,oil glands present,5.755,7.01,erect
grande,SYZ011_S_grande_SINGAPORE,syzygium,white,No calyptra,Dimorphic sepals,Hyaline absent,Rounded sepals,Erect calyx,2.425,3.525,Free sepals,Free petals,3.925,3.185,8.62,4.517,2.665,3.003,0.523,Lip absent,disc ascending,Filaments fold at Top,Oil glands absent,1.015,1.335,Ascending ovules,Central ovules,Style bent,NA,16.735,19.87,calyx deciduous,green,2.001,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,8.528,7.572,erect
forte subsp potamophilum,SYZ351_S_forte_ssp_potamophilum,forte,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,2.08,2.86,Free sepals,Free petals,impute,impute,5.84,2.72,1.87,1.42,0.34,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,0.52,0.54,Ascending ovules,Central ovules,Style bent,5.62,25,30,calyx remains,white,5,cotyledons indet,testa indet,hypocotyl indet,oil glands indet,20,20,erect
eucalyptoides subsp eucalyptoides,SYZ127_S_eucalyptoides_ssp_eucalyptoides,jambos,white,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,open sepals TBA,3.195,3.65,Free sepals,Free petals,4.97,4.74,5.365,4.7,1.26,1.47,0.6,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,1.225,0.965,Ascending ovules,Central ovules,Style bent,7.852,7.095,7.99,calyx remains,white,0.482,cotyledons not interlocking,testa adhering,hypocotyl not visible,oil glands present,6.528,6.065,pendant
duthieanum,SYZ008_S_duthieanum,syzygium,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,1.78,1.25,Free sepals,Free petals,4.25,3.5,4.8,4.125,1.675,NA,NA,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,0.71,1.175,Ascending ovules,Central ovules,Style bent,NA,17.74,17.26,calyx deciduous,green,3.314,cotyledons not interlocking,testa free,hypocotyl visible,oil glands present,10.525,9.27,erect
chloranthum,SFG183_S_chloranthum,syzygium,white,Calycine calyptra,Monomorphic sepals,Hyaline absent,sepal.shape indet.,opn.calyx indet.,impute,impute,Fused sepals,Free petals,2.58,2.42,4.465,2.255,1.665,8,impute,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,0.55,0.905,Ascending ovules,Central ovules,Style bent,NA,6,impute,calyx deciduous,black,impute,cotyledons not interlocking,n/a,hypocotyl not visible,oil glands absent,4.5,impute,erect
malaccense,SYZ078_S_malaccense_SingaporeBG,jambos,white,No calyptra,Dimorphic sepals,Hyaline present,Rounded sepals,open sepals TBA,13.76,4.98,Free sepals,Free petals,4.83,4.61,8.26,4.36,1.83,2.49,0.4,Lip present,disc ascending,Filaments fold in middle,Oil glands absent,0.51,1.34,Ascending ovules,Central ovules,Style bent,26.313,36.729,35.747,calyx remains,red,8.2695,cotyledons interlocking,testa adhering,hypocotyl visible,oil glands absent,21.3705,19.775,erect
sayeri,SYZ264_S_sayeri,jambos,white,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,open sepals TBA,2.72,4.2,Free sepals,Free petals,6.895,4.81,10.75,4.22,3.665,3.39,0.815,Lip present,disc flat,Filaments fold in middle,Oil glands absent,1.73,1.14,Ascending ovules,Central ovules,Style bent,4.835,35,35,calyx remains,white,20,NA,testa adhering,NA,NA,15,15,erect
pseudofastigiatum,SYZ337_S_pseudofastigiatum,forte,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Acute sepals,Erect calyx,0.35,0.8,Free sepals,Fused petals,2.71,2.05,3.84,2.38,1.02,5.5,0.65,Lip absent,disc flat,Filaments fold in middle,Oil glands on anthers,1.16,1.24,Ascending ovules,Central ovules,Style bent,2.874,30,20,calyx remains,white,2.5,cotyledons not interlocking,testa free,hypocotyl indet,oil glands indet,17.5,17.5,erect
cordatum,SYZ049_S_cordatum_ssp_cordatum,syzygium,white,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,0.77,1.73,Free sepals,Fused petals,NA,NA,4.335,3.07,1.985,3.09,0.585,Lip absent,disc vertical,Filaments fold in middle,Oil glands on anthers,0.93,0.895,Ascending ovules,Central ovules,Style bent,4.902,4.1,6.72,calyx remains,purple,0.564,cotyledons not interlocking,testa adhering,hypocotyl not visible,oil glands present,2.92,4.295,erect
alubo,SYZ315_S_alubo,syzygium,yellow,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,0.415,0.51,Free sepals,Fused petals,impute,impute,2.04,1.02,0.755,0.56,0.32,Lip absent,disc ascending,Filaments fold in middle,Oil glands on anthers,0.5,0.485,Ascending ovules,Central ovules,Style straight,1.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,erect
pendens,SYZ211_S_pendens,syzygium,white,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,Reflexed calyx,3.6,4.97,Free sepals,Free petals,5.55,6.44,7.23,0.81,4.78,3.83,0.85,Lip absent,disc ascending,,Oil glands on filaments and anthers,NA,NA,Ascending ovules,Central ovules,Style straight,14,11.088,12.825,calyx deciduous,green,0.629,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,6.815,7.95,pendant
erythrodoxum,SYZ065_S_erythrodoxum,fibrosum,red,No calyptra,Monomorphic sepals,Hyaline present,Acute sepals,Erect calyx,4.7125,2.896666667,Free sepals,Free petals,3.93,4.22,6.025,4.815,1.445,4.195,0.55,Lip absent,disc ascending,Filaments fold at base,Oil glands absent,1.275,1.605,Ascending ovules,Central ovules,Style TBA,14.63,11.34,10.71,calyx remains,red,1.906,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,8.815,7.3,pseudo-erect
nigricans,SYZ010_S_nigricans,syzygium,white,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,Erect calyx,1.425,1.875,Free sepals,Fused petals,3.6,3.05,5.25,2.975,1.7,4,impute,Lip absent,disc flat,Filaments fold at Top,Oil glands absent,0.88,0.6,Ascending ovules,Central ovules,Style TBA,4,13.94,13.53,calyx deciduous,green,0.933,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,4.26,6.12,erect
papyraceum,SYZ102_S_papyraceum,forte,yellow,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,opn.calyx indet.,4,4,Free sepals,Free petals,6.5,6.5,6.5,7.5,impute,7.5,0.8,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,NA,NA,Ascending ovules,Central ovules,Style TBA,5,11.5,20.5,calyx deciduous,purple,NA,cotyledons not interlocking,n/a,hypocotyl not visible,oil glands absent,NA,NA,erect
caryophyllatum,SYZ316_S_caryophyllatum,syzygium,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,impute,impute,Free sepals,Fused petals,impute,impute,2.405,1.69,0.84,0.86,0.34,Lip absent,disc ascending,Filaments fold in middle,Oil glands on filaments and anthers,0.385,0.67,Descending ovules,Central ovules,Style bent,2.075,6.16,5.4,calyx deciduous,no colour info on specimen sheet,impute,cotyledons not interlocking,n/a,hypocotyl not visible,oil glands absent,4.69,4.305,erect
acre,SYZ108_S_acre,cupheanthus,pink,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,4.23,7.59,Free sepals,Free petals,8.82,5.74,16.52,8.02,5.84,5.8,2.11,Lip absent,disc ascending,Filaments fold at base,Oil glands absent,0.72,0.89,Ovules radiating,Central ovules, Style curved once,13.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,erect
pachycladum,SYZ359_S_pachycladum,jambos,purple,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,opn.calyx indet.,NA,NA,Free sepals,Free petals,NA,NA,NA,NA,NA,NA,NA,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,NA,NA,Ovules radiating,Central ovules,Style bent,impute,impute,impute,calyx indet,no colour info on specimen sheet,impute,cotyledons indet,testa indet,hypocotyl indet,oil glands indet,impute,impute,erect
forte subsp forte,SYZ350_S_forte_ssp_forte,forte,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Rounded sepals,Erect calyx,1.9,1.845,Free sepals,Fused petals,5.47,5.06,6.54,4.525,2.535,4.26,0.58,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,1.01,1.09,Ovules radiating,Central ovules,Style bent,8.753,35,35,calyx remains,white,17.5,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands absent,17.5,17.5,erect
buxifolium,SYZ043_S_buxifolium_Hahajima,syzygium,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Acute sepals,Erect calyx,0.74,1.44,Free sepals,Fused petals,2.02,2.27,3.635,2.785,1.59,2.485,0.65,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,0.89,1.1,Ovules radiating,Central ovules,Style bent,5.362,7.15,8.18,calyx deciduous,purple,0.426,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,6.395,6.505,erect
neesianum,SYZ312_S_neesianum,syzygium,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Acute sepals,open sepals TBA,0.815,1.015,Free sepals,Fused petals,NA,NA,3.335,1.865,0.99,1.585,0.36,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,0.65,1.12,Ovules radiating,Central ovules,Style bent,3.165,13.25,12.39,calyx deciduous,no colour info on specimen sheet,1.333,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,9.25,7.98,erect
