species,Tree.label,section,flower.colour,calyptra,sepal.dimorph,hyaline,sepal.shape,opn.cylx,K.avg,L.avg,Cylx.Fuion,Ptl.fusion,D.avg,E.avg,C.avg,B.avg,A.avg,Fil.avg,Anth.avg,Lip,Stam.disc,Anth.folding,Styl.fil.oil,H.avg,I.avg,ovl.orientation,ovl.attachment,style.hooked,Styl.avg,fr.wdth.avg,fr.lgnth.avg,calyx.remains,fr.colour,pericrp.avg,ctlydn.interlck,testa,hypctl,oil,ctyldn.wdth.avg,ctyldn.lgnth.avg,Inflorescence.habit..erect.pendant.
buettnerianum,SYZ223_S_buettnerianum,syzygium,purple,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Acute sepals,open sepals TBA,0.34,0.9,Free sepals,Fused petals,impute,impute,5.675,2.15,1.72,1.38,0.45,Lip absent,disc flat,Filaments fold at base,Oil glands absent,0.77,1.1,Ovules radiating,Central ovules,Style TBA,3.77,12.39,11.92,calyx deciduous,purple,1.648,cotyledons not interlocking,testa adhering,hypocotyl not visible,oil glands absent,9.89,6.51,erect
taeniatum,SYZ400_S_taeniatum,Angophoroides,green,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,Erect calyx,0.795,1.625,Free sepals,Free petals,3.305,3.03,3.775,2.93,0.81,3.64,0.425,Lip absent,disc flat,Filaments fold at Top,Oil glands absent,0.91,1.22,Ovules radiating,Central ovules,Style TBA,3.885,7.6,6.685,calyx deciduous,purple,0.601,cotyledons not interlocking,testa adhering,hypocotyl not visible,oil glands absent,6.795,5.005,erect
pycnanthum,SYZ155_S_pycnanthum_SABAH,jambos,white,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,opn.calyx indet.,3,6,Free sepals,Free petals,NA,NA,10.5,6.5,impute,10,impute,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,NA,NA,Ovules radiating,Central ovules,Style TBA,20,12.46,12.9,calyx deciduous,green,1.094,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,10.72,10.275,unknown
fre,SYZ336_S_oleosum,Australe,white,No calyptra,Monomorphic sepals,Hyaline present,Acute sepals,Erect calyx,0.99,1.556666667,Free sepals,Free petals,1.9,1.87,3.283,3.07,1.413,3.233,0.333,Lip absent,disc flat,Filaments fold at Top,Oil glands on anthers,0.65,0.97,Ovules radiating,Central ovules,Style TBA,6.231,6.18,7.025,calyx deciduous,purple,0.685,cotyledons not interlocking,testa adhering,hypocotyl not visible,oil glands present,4.89,4.717,erect
tripetalum,SYZ371_S_tripetalum,cupheanthus,white,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,1.09,1.92,Free sepals,Free petals,3,3,4.985,2.805,2.58,8,0.45,Lip absent,disc flat,Filaments fold at Top,Oil glands on filaments and anthers,0.955,1.035,Ovules radiating,Central ovules,Style TBA,13.41,9.5,8,calyx remains,red,impute,cotyledons indet,testa indet,hypocotyl indet,oil glands indet,impute,impute,erect
johnsonii,SYZ375_S_johnsonii,Australe,white,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,Erect calyx,2.61,2.66,Free sepals,Free petals,2.25,2.25,4.72,3.46,1.84,2.86,0.42,Lip absent,disc flat,Filaments fold at Top,Oil glands on filaments and anthers,1.01,1.47,Ovules radiating,Central ovules,Style TBA,NA,7.025,9.755,calyx remains,purple,1.097,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,4.66,6.325,erect
sharonae,SYZ271_S_sharoniae,jambos,white,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,Reflexed calyx,5.46,4.58,Free sepals,Free petals,impute,impute,9.07,5.5,2.44,NA,NA,Lip absent,disc flat,Filaments fold at Top,Oil glands on filaments and anthers,1.871,2.099,Ovules radiating,Central ovules,Style TBA,NA,65,65,calyx remains,white,35,NA,testa adhering,NA,NA,30,30,erect
branderhorstii,SYZ338_S_branderhorstii,caryophyllus,white,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,opn.calyx indet.,1.055,2.62,Free sepals,Free petals,3.307,3.193,4.83,3.083,1.673,3.12,0.62,Lip absent,disc ascending,Filaments fold at base,Oil glands absent,0.967,0.74,Ascending ovules,Linear ovules,Style bent,3.623,NA,NA,calyx deciduous,purple,NA,cotyledons not interlocking,testa adhering,hypocotyl not visible,oil glands absent,NA,NA,pseudo-erect
bamagense,SYZ373_S_bamagense,forte,white,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,opn.calyx indet.,2.736666667,3.76,Free sepals,Free petals,5.147,4.547,5.74,4.033,1.893,3.557,0.603,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,0.757,0.753,Ascending ovules,Linear ovules,Style bent,8.217,47.5,40,calyx remains,white,25,NA,testa adhering,,NA,20,19.5,erect
aromaticum,SYZ309_S_aromaticum,caryophyllus,red,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Acute sepals,open sepals TBA,3.68,2.42,Free sepals,Fused petals,2.911,2.694,12.54,2.25,1.41,1.84,0.4,Lip present,disc ascending,Filaments fold at Top,Oil glands on filaments and anthers,1.47,0.94,Ascending ovules,Linear ovules,Style straight,2.98,NA,NA,calyx deciduous,no colour info on specimen sheet,NA,cotyledons not interlocking,n/a,hypocotyl not visible,oil glands absent,NA,NA,erect
dansiei,SYZ323_S_dansiei,Australe,red,No calyptra,Monomorphic sepals,Hyaline absent,Acute sepals,Erect calyx,0.27,1.17,Free sepals,Free petals,1.64,2.17,2.68,1.83,0.88,2.83,0.25,Lip absent,disc flat,Filaments fold at Top,Oil glands on style,0.71,0.75,Ascending ovules,Linear ovules,Style TBA,5.48,8.59,10.34,calyx remains,pink,2.133,cotyledons not interlocking,testa free,hypocotyl visible,oil glands present,5.5,5.525,erect
amphoraecarpus,SYZ318_S_amphoraecarpus,jambos,pink,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,Erect calyx,4.56,5.3,Free sepals,,8.38,7.98,14.5,6.8,3.95,10.68,0.62,Lip absent,disc vertical,Filaments fold at base,Oil glands absent,1.83,1.86,Horizontal ovules,Linear ovules,Style bent,NA,11.87,14,calyx remains,,impute,cotyledons not interlocking,n/a,hypocotyl not visible,oil glands present,impute,impute,erect
guineense subsp. Huilleense,SYZ048_S_guineense_ssp_huilleense,syzygium,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,1.06,1.83,Free sepals,Fused petals,3.67,3.41,5.09,3.45,1.92,NA,NA,Lip absent,disc ascending,Filaments fold at Top,Oil glands absent,1.3,1.22,Ovules radiating,Linear ovules, Style curved once,NA,NA,NA,calyx deciduous,purple,NA,cotyledons interlocking,testa free,hypocotyl visible,oil glands absent,NA,NA,erect
angophroides,SYZ257_S_angophoroides,Angophoroides,white,No calyptra,Monomorphic sepals,Hyaline absent,Acute sepals,open sepals TBA,0.8,1.475,Free sepals,Free petals,2.55,2.025,3.8,2.39,1.32,1.58,0.385,Lip absent,disc flat,Filaments fold in middle,Oil glands absent,0.76,0.845,Ovules radiating,Linear ovules,Style curved twice,5.35,2.833,3.833,calyx deciduous,purple,1.714,cotyledons not interlocking,n/a,hypocotyl not visible,oil glands absent,3.925,2.58,erect
owariense,SYZ047_S_owariense,syzygium,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,0.615,1.02,Free sepals,Fused petals,2.11,2.33,4.065,2.735,1.555,1.24,0.56,Lip absent,disc ascending,Filaments fold in middle,Oil glands on anthers,0.9,1.21,Ovules radiating,Linear ovules,Style TBA,3.32,9.04,12.05,calyx remains,purple,0.722,cotyledons not interlocking,testa adhering,hypocotyl not visible,oil glands present,7.675,10.64,erect
